Run	Coalescent time	First ascertained	First unascertained	First hospitalized	infections
0415	0.06625099999999999	0.004326	0.011222	0.023756	11
0416	0.03743	0.002872	0.036176	0.049523	4
0417	0.014352	0.01269	0.027778	0.035162	3
0418	0.007919	0.026809	0.001426	0.061061	3
0419	0.048701	0.076404	0.013777	0.106832	5
0420	0.000248	0.004509	0.013769	0.08069	1
0421	0.006438	0.046928	0.011992	0.052788	1
0422	0.09254699999999999	0.000731	0.045662	0.051425	17
0423	0.021921999999999997	0.037983	0.004819	0.063939	4
0424	0.029116000000000003	0.038783	0.027423	0.071261	2
0425	0.06490499999999999	0.038197	0.049824	0.047646	20
0426	0.0	0.006629	0.009741	0.032356	1
0427	0.0007930000000000001	0.001224	0.013027	0.036375	2
0428	0.023834	0.015205	0.008234	0.036965	3
0429	0.022484	0.000324	0.029617	0.055717	2
0430	0.006272	0.020082	0.00634	0.045607	2
0431	0.000176	0.036748	0.008183	0.066076	2
0432	3.1e-05	0.023304	0.034264	0.045525	1
0433	0.048735	0.025922	0.00316	0.087225	12
0434	0.010859	0.015058	0.004242	0.055436	3
0435	0.002481	0.050897	0.010237	0.072243	1
0436	0.010544999999999999	0.021956	0.009031	0.051402	2
0437	0.007994999999999999	0.04834	0.010511	0.074794	2
0438	0.008572999999999999	0.032246	0.005268	0.057528	6
0439	0.004221	0.017965	0.003827	0.029956	2
0440	0.101832	0.12357	0.022025	0.139601	12
0441	0.020009	0.019579	0.016663	0.042279	9
0442	0.060312000000000004	0.087785	0.016273	0.139226	6
0443	0.001699	0.02785	0.005157	0.104599	1
0444	0.067815	0.001252	0.013774	0.108911	9
0445	0.033938	0.007061	0.018475	0.055981	7
0446	0.030181	0.090362	0.006854	0.129942	8
0447	0.043282	0.006843	0.001507	0.04554	10
0448	0.028277999999999998	0.043088	0.007361	0.058021	4
0449	0.0025770000000000003	0.026518	0.010085	0.04455	2
0450	0.030084	0.016968	0.033917	0.029892	5
0451	0.000338	0.018492	0.017767	0.067693	1
0452	0.000946	0.023572	0.012439	0.038908	1
0453	0.08582100000000001	0.017175	0.010444	0.072162	8
0454	0.000151	0.006772	0.022827	0.030722	1
0455	0.041372	0.029103	0.016729	0.090764	6
0456	0.001519	0.028004	0.011983	0.039329	1
0457	0.12240600000000001	0.008327	0.043311	0.04709	12
0458	0.021419	0.033771	0.004687	0.142058	3
0459	0.045011999999999996	0.033602	0.011853	0.114217	7
0460	0.007462	0.011182	0.002065	0.060202	2
0461	0.010885999999999998	0.009016	0.009694	0.012367	3
0462	0.035638	0.020947	0.024675	0.026743	6
0463	0.07223199999999999	0.097841	0.015252	0.181303	7
0464	0.029647	0.043137	0.002805	0.089967	2
0465	0.000812	0.007238	0.027025	0.063329	1
0466	0.021294999999999998	0.020258	0.00218	0.040424	3
0467	0.022634	0.044716	0.002402	0.063239	2
0468	0.024139	0.020311	3.5e-05	0.022472	6
0469	0.067788	0.034935	0.000545	0.041387	20
0470	0.022650000000000003	0.01759	0.004527	0.045511	10
0471	0.03388	0.010854	0.025675	0.058598	3
0472	0.000931	0.002257	0.016047	0.017072	2
0473	0.039152	0.002413	0.003462	0.067554	17
0474	0.11756399999999999	0.055703	0.006602	0.078932	34
0475	0.010558	0.056632	0.005668	0.072974	2
0476	5e-06	0.010635	0.049964	0.035547	1
0477	0.001408	0.017183	0.03046	0.057554	1
0478	0.018445	0.04024	0.006855	0.047934	2
0479	0.013404	0.005765	0.017557	0.027841	3
